backend,solution_scope,solution_id,label,is_representative,source_json,frontier_result_path,search_runtime_s,avg_candidate_runtime_s,final_total_distance_m,average_delivery_time_h,final_total_noise_impact,service_rate,service_rate_loss,n_used_drones
cplex,main_solution,cplex_main,CPLEX Main,True,data\compare_runs\compare_20260321_181623\cplex\run_20260321_181624_gpt-4o-mini_noise0.5\workflow_results.json,,,,71412.1153936331,0.168556,114.0,1.0,0.0,1
cplex,pareto_profile,balanced,Balanced,False,data\compare_runs\compare_20260321_181623\cplex\run_20260321_181624_gpt-4o-mini_noise0.5\solver_analytics\pareto\pareto_frontier.json,data\compare_runs\compare_20260321_181623\cplex\run_20260321_181624_gpt-4o-mini_noise0.5\solver_analytics\pareto\profiles\balanced,,,71412.1153936331,0.168556,114.0,1.0,0.0,1
cplex,pareto_profile,time_focus,Time Focus,False,data\compare_runs\compare_20260321_181623\cplex\run_20260321_181624_gpt-4o-mini_noise0.5\solver_analytics\pareto\pareto_frontier.json,data\compare_runs\compare_20260321_181623\cplex\run_20260321_181624_gpt-4o-mini_noise0.5\solver_analytics\pareto\profiles\time_focus,,,72888.26179938215,0.169,39.0,1.0,0.0,1
cplex,pareto_profile,risk_focus,Risk Focus,False,data\compare_runs\compare_20260321_181623\cplex\run_20260321_181624_gpt-4o-mini_noise0.5\solver_analytics\pareto\pareto_frontier.json,data\compare_runs\compare_20260321_181623\cplex\run_20260321_181624_gpt-4o-mini_noise0.5\solver_analytics\pareto\profiles\risk_focus,,,72888.26179938215,0.169,39.0,1.0,0.0,1
nsga3,frontier_solution,nsga3_gen_candidate_0000,nsga3_gen_candidate_0000,True,data\compare_runs\compare_20260321_181623\nsga3\run_20260321_183946_gpt-4o-mini_noise0.5\nsga3_results.json,data\compare_runs\compare_20260321_181623\nsga3\run_20260321_183946_gpt-4o-mini_noise0.5\solver_analytics\nsga3\frontier_solutions\nsga3_gen_candidate_0000\workflow_results.json,1863.85536,232.98192,71412.1153936331,0.168556,114.0,1.0,0.0,1.0
nsga3,frontier_solution,nsga3_gen_candidate_0002,nsga3_gen_candidate_0002,False,data\compare_runs\compare_20260321_181623\nsga3\run_20260321_183946_gpt-4o-mini_noise0.5\nsga3_results.json,data\compare_runs\compare_20260321_181623\nsga3\run_20260321_183946_gpt-4o-mini_noise0.5\solver_analytics\nsga3\frontier_solutions\nsga3_gen_candidate_0002\workflow_results.json,1863.85536,232.98192,71412.1153936331,0.168556,114.0,1.0,0.0,1.0
nsga3,frontier_solution,nsga3_gen_candidate_0003,nsga3_gen_candidate_0003,False,data\compare_runs\compare_20260321_181623\nsga3\run_20260321_183946_gpt-4o-mini_noise0.5\nsga3_results.json,data\compare_runs\compare_20260321_181623\nsga3\run_20260321_183946_gpt-4o-mini_noise0.5\solver_analytics\nsga3\frontier_solutions\nsga3_gen_candidate_0003\workflow_results.json,1863.85536,232.98192,72888.26179938215,0.169,39.0,1.0,0.0,1.0
nsga3,frontier_solution,nsga3_gen_candidate_0004,nsga3_gen_candidate_0004,False,data\compare_runs\compare_20260321_181623\nsga3\run_20260321_183946_gpt-4o-mini_noise0.5\nsga3_results.json,data\compare_runs\compare_20260321_181623\nsga3\run_20260321_183946_gpt-4o-mini_noise0.5\solver_analytics\nsga3\frontier_solutions\nsga3_gen_candidate_0004\workflow_results.json,1863.85536,232.98192,72888.26179938215,0.169,39.0,1.0,0.0,1.0
nsga3,frontier_solution,nsga3_gen_candidate_0005,nsga3_gen_candidate_0005,False,data\compare_runs\compare_20260321_181623\nsga3\run_20260321_183946_gpt-4o-mini_noise0.5\nsga3_results.json,data\compare_runs\compare_20260321_181623\nsga3\run_20260321_183946_gpt-4o-mini_noise0.5\solver_analytics\nsga3\frontier_solutions\nsga3_gen_candidate_0005\workflow_results.json,1863.85536,232.98192,71412.1153936331,0.168556,114.0,1.0,0.0,1.0
nsga3,frontier_solution,nsga3_gen_candidate_0006,nsga3_gen_candidate_0006,False,data\compare_runs\compare_20260321_181623\nsga3\run_20260321_183946_gpt-4o-mini_noise0.5\nsga3_results.json,data\compare_runs\compare_20260321_181623\nsga3\run_20260321_183946_gpt-4o-mini_noise0.5\solver_analytics\nsga3\frontier_solutions\nsga3_gen_candidate_0006\workflow_results.json,1863.85536,232.98192,71412.1153936331,0.168556,114.0,1.0,0.0,1.0
