source_sheet,latitude,longitude,station_name,city,platform,notes,additional_notes,service_start_date,service_end_date,service_start_date_is_estimated,service_end_date_is_estimated
sf_express,22.818233,113.858608,Yan Luo Da Zu Ju Test,Shenzhen,SF Express Fengyi,test_site,,,,False,False
sf_express,22.817988,113.858199,Yan Luo Test Field,Shenzhen,SF Express Fengyi,test_site,,,,False,False
sf_express,22.799354,113.879911,Fengyi Drone Yan Luo Air Station,Shenzhen,SF Express Fengyi,,,2020-11-24,2025-10-24,False,False
sf_express,22.786042,113.88526,Fengyi Drone Tie Jia Air Station,Shenzhen,SF Express Fengyi,,,2020-11-24,2025-10-24,False,False
sf_express,22.771279,114.104337,Dong Wan 796DN Outlet Air Station,Dongguan,SF Express Fengyi,new_site,,2025-06-17,2025-10-24,True,False
sf_express,22.778025,113.820252,Fengyi Drone Sha Pu Wei Air Station,Shenzhen,SF Express Fengyi,,,2020-11-24,2025-10-24,False,False
sf_express,22.770465,113.834327,Fengyi Drone Shen Xiang Industrial Park Air Station,Shenzhen,SF Express Fengyi,,,2020-11-24,2025-10-24,False,False
sf_express,22.760138,113.870181,Fengyi Drone Da Tian Yang Air Station,Shenzhen,SF Express Fengyi,,,2022-10-07,2025-10-24,False,False
sf_express,22.762901,113.896166,Fengyi Drone Guang Ming Feng Hui Air Station,Shenzhen,SF Express Fengyi,,,2022-08-01,2025-10-24,False,False
sf_express,22.741762,114.024485,Fengyi Drone Fu Cheng Air Station,Shenzhen,SF Express Fengyi,,,2024-01-16,2025-10-24,False,False
sf_express,22.719388,114.047289,Fengyi Drone De Run Air Station,Shenzhen,SF Express Fengyi,,,2023-12-08,2025-10-24,False,False
sf_express,22.651282,114.153917,Jin Dao Tian Hai Ji Xing Air Station,Shenzhen,SF Express Fengyi,,,2023-12-08,2025-10-24,False,False
sf_express,22.695892,114.053989,Fengyi Drone Yi Shi Da Air Station,Shenzhen,SF Express Fengyi,,,2023-12-08,2025-10-24,False,False
sf_express,22.730125,113.797202,Fengyi Drone Jin Cheng Lu Air Station,Shenzhen,SF Express Fengyi,,,2022-04-03,2025-10-24,False,False
sf_express,22.744423,113.820117,Fengyi Drone Zhong Ya Huo Gu Air Station,Shenzhen,SF Express Fengyi,,,2022-04-03,2025-10-24,False,False
sf_express,22.713694,114.10189,Long Hua District - He Ji Transfer Hub,Shenzhen,SF Express Fengyi,new_site,,2025-06-17,2025-10-24,False,False
sf_express,22.727805,113.840365,Fengyi Drone Shang Xing Industrial Area Air Station,Shenzhen,SF Express Fengyi,,,2022-04-03,2025-10-24,False,False
sf_express,22.721709,113.860163,Xin Fa,Shenzhen,SF Express Fengyi,test_site,,,,False,False
sf_express,22.714125,113.971375,Fengyi Drone Shui Tian Air Station,Shenzhen,SF Express Fengyi,new_site,,,2025-10-24,False,False
sf_express,22.721581,113.860365,Fengyi Drone Xin Fa Industrial Area Air Station,Shenzhen,SF Express Fengyi,,,2022-08-01,2025-10-24,False,False
sf_express,22.734323,113.899633,Fengyi Drone Yu Tang Air Station,Shenzhen,SF Express Fengyi,,,2022-04-03,2025-10-24,False,False
sf_express,22.748597,113.952784,Nan Yue Guang Ming Ru Ge (Hong Qiao Park Store),Shenzhen,SF Express Fengyi,,,2024-10-10,2025-10-24,False,False
