wkt_geom,fid,Height,roof_area,type,province,city,DEM高度,求和高度,经度,纬度
MultiPoint ((113.92484519918974684 22.6604530418621124)),295120,1.045792,12.473,居住用地,广东省,深圳市,53,54.045792,113.9248452,22.66045304
MultiPoint ((113.87531597166970698 22.66817713094060238)),252117,1.046192,434.029,居住用地,广东省,深圳市,50,51.046192,113.875316,22.66817713
MultiPoint ((113.85700132204968327 22.6560133532745489)),235233,1.065492,125.778,居住用地,广东省,深圳市,48,49.065492,113.8570013,22.65601335
MultiPoint ((113.91994986403111056 22.6676100972496215)),289906,1.073192,204.843,居住用地,广东省,深圳市,59,60.073192,113.9199499,22.6676101
MultiPoint ((113.91778484761428558 22.66204874945583825)),287411,1.086092,19.238,居住用地,广东省,深圳市,59,60.086092,113.9177848,22.66204875
MultiPoint ((113.91756389756351098 22.66199746569476403)),287419,1.094392,22.18,居住用地,广东省,深圳市,60,61.094392,113.9175639,22.66199747
MultiPoint ((113.91360908926918682 22.65976845237647908)),282211,1.094692,59.336,居住用地,广东省,深圳市,37,38.094692,113.9136091,22.65976845
MultiPoint ((113.81758857369598559 22.65647736299387205)),169146,1.128692,45.044,居住用地,广东省,深圳市,6,7.128692,113.8175886,22.65647736
MultiPoint ((113.86854670461246997 22.66458053955242136)),249209,1.128892,31.905,居住用地,广东省,深圳市,65,66.128892,113.8685467,22.66458054
MultiPoint ((113.91408632917512023 22.66016691190798582)),282208,1.133092,22.98,居住用地,广东省,深圳市,44,45.133092,113.9140863,22.66016691
MultiPoint ((113.87567085246986665 22.66806916590763876)),254102,1.152292,269.023,居住用地,广东省,深圳市,50,51.152292,113.8756709,22.66806917
MultiPoint ((113.91779733019905052 22.66171520479595713)),287403,1.184992,14.078,居住用地,广东省,深圳市,59,60.184992,113.9177973,22.6617152
MultiPoint ((113.8566091981546009 22.65240678005986652)),232739,1.191192,93.381,居住用地,广东省,深圳市,52,53.191192,113.8566092,22.65240678
MultiPoint ((113.9278352909742722 22.67292900179647575)),298006,1.194192,28.432,居住用地,广东省,深圳市,41,42.194192,113.9278353,22.672929
MultiPoint ((113.91403421938727547 22.66015232828250703)),282212,1.202092,51.357,居住用地,广东省,深圳市,43,44.202092,113.9140342,22.66015233
MultiPoint ((113.91348220880820463 22.65971983100697074)),282187,1.231092,54.895,居住用地,广东省,深圳市,38,39.231092,113.9134822,22.65971983
MultiPoint ((113.86632914766204294 22.66754784386120036)),247732,1.240192,232.548,居住用地,广东省,深圳市,47,48.240192,113.8663291,22.66754784
MultiPoint ((113.92551121843503381 22.69802342282973129)),295880,1.241292,111.364,居住用地,广东省,深圳市,62,63.241292,113.9255112,22.69802342
MultiPoint ((113.92822273163531577 22.67284357447016063)),300815,1.253792,47.091,居住用地,广东省,深圳市,43,44.253792,113.9282227,22.67284357
MultiPoint ((113.91467519195282421 22.67535503723371093)),284821,1.261492,11.286,居住用地,广东省,深圳市,40,41.261492,113.9146752,22.67535504
MultiPoint ((113.82009918815695926 22.66690836700461986)),169369,1.281892,591.494,居住用地,广东省,深圳市,5,6.281892,113.8200992,22.66690837
MultiPoint ((113.93402641994957492 22.68521790111641323)),306553,1.288392,214.936,居住用地,广东省,深圳市,48,49.288392,113.9340264,22.6852179
MultiPoint ((113.91715983225495279 22.65687832346750952)),287250,1.327192,21.995,居住用地,广东省,深圳市,41,42.327192,113.9171598,22.65687832
MultiPoint ((113.99778554158964994 22.67098884352782306)),335326,1.400192,217.987,居住用地,广东省,深圳市,81,82.400192,113.9977855,22.67098884
MultiPoint ((113.92220848530124044 22.66804422805317287)),292680,1.403192,23.033,居住用地,广东省,深圳市,43,44.403192,113.9222085,22.66804423
MultiPoint ((113.91903425753055501 22.66661551286121323)),289885,1.413992,69.241,居住用地,广东省,深圳市,58,59.413992,113.9190343,22.66661551
MultiPoint ((113.92742743725212051 22.67293045216462843)),298003,1.431792,86.387,居住用地,广东省,深圳市,41,42.431792,113.9274274,22.67293045
MultiPoint ((113.91153494052601047 22.65815413650765819)),280322,1.431992,22.199,居住用地,广东省,深圳市,35,36.431992,113.9115349,22.65815414
MultiPoint ((113.819414328462301 22.66705152552533775)),169367,1.432092,66.029,居住用地,广东省,深圳市,0,1.432092,113.8194143,22.66705153
MultiPoint ((113.86785874875312174 22.67216229685133655)),247791,1.452492,132.672,居住用地,广东省,深圳市,51,52.452492,113.8678587,22.6721623
MultiPoint ((113.9114579863640131 22.658245921384502)),280329,1.454792,54.293,居住用地,广东省,深圳市,38,39.454792,113.911458,22.65824592
MultiPoint ((113.80789340653616648 22.69043991380036118)),145759,1.527592,254.907,医疗卫生用地,广东省,深圳市,5,6.527592,113.8078934,22.69043991
MultiPoint ((113.80073673203872886 22.69368740220000547)),134718,1.531292,57.663,居住用地,广东省,深圳市,1,2.531292,113.8007367,22.6936874
MultiPoint ((113.80434848136789583 22.69141197945103983)),141133,1.534292,216.636,居住用地,广东省,深圳市,-4,-2.465708,113.8043485,22.69141198
MultiPoint ((113.91754014699418462 22.66194774140105039)),287371,1.582492,45.625,居住用地,广东省,深圳市,60,61.582492,113.9175401,22.66194774
MultiPoint ((113.86376115029393929 22.66926665170558763)),245452,1.606392,101.031,居住用地,广东省,深圳市,52,53.606392,113.8637612,22.66926665
MultiPoint ((113.8664540662973792 22.66738455513456074)),247744,1.630692,181.379,居住用地,广东省,深圳市,50,51.630692,113.8664541,22.66738456
MultiPoint ((113.85713457489605105 22.65801145751774825)),235259,1.642292,52.648,居住用地,广东省,深圳市,73,74.642292,113.8571346,22.65801146
MultiPoint ((113.86680559438390503 22.67100984898855387)),247785,1.644192,35.67,居住用地,广东省,深圳市,46,47.644192,113.8668056,22.67100985
MultiPoint ((113.86661591458258158 22.66745381790080316)),247724,1.662292,97.52,居住用地,广东省,深圳市,51,52.662292,113.8666159,22.66745382
MultiPoint ((113.91346942594476843 22.66724133221861948)),282303,1.672092,97.147,居住用地,广东省,深圳市,42,43.672092,113.9134694,22.66724133
MultiPoint ((113.92428091865824058 22.67125068807281352)),295274,1.685692,55.434,居住用地,广东省,深圳市,41,42.685692,113.9242809,22.67125069
MultiPoint ((113.9116345494835798 22.6581843961393119)),280326,1.690692,67.101,居住用地,广东省,深圳市,37,38.690692,113.9116345,22.6581844
MultiPoint ((113.86638984588974211 22.66724082860565304)),247730,1.694992,81.418,居住用地,广东省,深圳市,52,53.694992,113.8663898,22.66724083
MultiPoint ((113.91274963633205175 22.6665968234587325)),282291,1.704592,97.251,居住用地,广东省,深圳市,47,48.704592,113.9127496,22.66659682
MultiPoint ((113.86711640455698102 22.67124693669003221)),247790,1.714892,42.478,居住用地,广东省,深圳市,43,44.714892,113.8671164,22.67124694
MultiPoint ((113.85514031371647548 22.65346791822709349)),232742,1.725192,409.592,居住用地,广东省,深圳市,54,55.725192,113.8551403,22.65346792
MultiPoint ((113.92825422869526619 22.65541142441426459)),40829,1.726092,123.545,居住用地,广东省,深圳市,37,38.726092,113.9282542,22.65541142
MultiPoint ((113.87660586169593557 22.66717735092652219)),254091,1.746292,158.219,居住用地,广东省,深圳市,49,50.746292,113.8766059,22.66717735
MultiPoint ((113.86222629862437827 22.66487874920307988)),241662,1.770592,244.872,居住用地,广东省,深圳市,49,50.770592,113.8622263,22.66487875
MultiPoint ((113.91785465856887072 22.66169522505535028)),287399,1.778492,15.479,居住用地,广东省,深圳市,59,60.778492,113.9178547,22.66169523
MultiPoint ((113.87396647699041807 22.67242272793740199)),252120,1.783492,44.358,居住用地,广东省,深圳市,54,55.783492,113.8739665,22.67242273
MultiPoint ((113.86668340220151663 22.6673963894902144)),247745,1.807092,46.442,居住用地,广东省,深圳市,51,52.807092,113.8666834,22.66739639
MultiPoint ((113.91130306081389278 22.67016201726929481)),280412,1.812492,41.983,居住用地,广东省,深圳市,41,42.812492,113.9113031,22.67016202
MultiPoint ((113.80831841077610989 22.69073903809883674)),145945,1.812792,27.652,医疗卫生用地,广东省,深圳市,5,6.812792,113.8083184,22.69073904
MultiPoint ((113.9178361527985146 22.66165808017264993)),287417,1.854392,11.941,居住用地,广东省,深圳市,58,59.854392,113.9178362,22.66165808
MultiPoint ((113.92135247551759392 22.66349193388885297)),292595,1.873192,16.592,居住用地,广东省,深圳市,45,46.873192,113.9213525,22.66349193
MultiPoint ((113.93363595143415523 22.68812689098814417)),306702,1.901392,44.224,居住用地,广东省,深圳市,55,56.901392,113.933636,22.68812689
MultiPoint ((113.91948225981640519 22.66423965902459514)),289833,1.910792,175.069,居住用地,广东省,深圳市,49,50.910792,113.9194823,22.66423966
MultiPoint ((113.92416296709353674 22.6979727406679288)),295885,1.912492,45.893,居住用地,广东省,深圳市,49,50.912492,113.924163,22.69797274
MultiPoint ((113.80481993565089738 22.69036674508761919)),141095,1.934092,75.246,居住用地,广东省,深圳市,-5,-3.065908,113.8048199,22.69036675
MultiPoint ((113.91519333562320071 22.67292497257302841)),284770,1.935592,48.382,居住用地,广东省,深圳市,53,54.935592,113.9151933,22.67292497
MultiPoint ((113.87305687473923399 22.66815307087101772)),252099,1.954292,33.495,居住用地,广东省,深圳市,51,52.954292,113.8730569,22.66815307
MultiPoint ((113.92155241586064562 22.66440005293628701)),292599,1.958392,61.676,居住用地,广东省,深圳市,50,51.958392,113.9215524,22.66440005
MultiPoint ((113.91525319810456551 22.66836890045760811)),284909,1.973792,13.47,居住用地,广东省,深圳市,47,48.973792,113.9152532,22.6683689
MultiPoint ((113.86744798233984 22.67054460600384047)),247772,1.976292,43.379,居住用地,广东省,深圳市,53,54.976292,113.867448,22.67054461
MultiPoint ((113.91373121761259313 22.66039465126350549)),282189,1.978292,17.99,居住用地,广东省,深圳市,42,43.978292,113.9137312,22.66039465
MultiPoint ((113.93352458637460245 22.68856219363841475)),306729,1.978792,23.532,居住用地,广东省,深圳市,52,53.978792,113.9335246,22.68856219
MultiPoint ((113.86673396836941663 22.66783220014254141)),247731,1.982192,145.516,居住用地,广东省,深圳市,46,47.982192,113.866734,22.6678322
MultiPoint ((113.8568368129555779 22.65990677753854854)),232788,1.991992,1336.348,居住用地,广东省,深圳市,79,80.991992,113.8568368,22.65990678
MultiPoint ((113.92832127623741201 22.65474884336271799)),40780,2.010792,53.915,居住用地,广东省,深圳市,37,39.010792,113.9283213,22.65474884
MultiPoint ((113.91203920734693611 22.67242941646468424)),282350,2.012292,17.2,居住用地,广东省,深圳市,44,46.012292,113.9120392,22.67242942
MultiPoint ((113.92639598221971653 22.67795466022736761)),31981,2.026792,117.956,居住用地,广东省,深圳市,31,33.026792,113.926396,22.67795466
MultiPoint ((113.8663943712884361 22.66767021329100018)),247743,2.028192,50.118,居住用地,广东省,深圳市,44,46.028192,113.8663944,22.66767021
MultiPoint ((113.9225875760512281 22.67495003360824413)),292843,2.070392,16.171,居住用地,广东省,深圳市,32,34.070392,113.9225876,22.67495003
MultiPoint ((113.86574038565312605 22.67092272558947386)),1135,2.073092,53.928,居住用地,广东省,深圳市,42,44.073092,113.8657404,22.67092273
MultiPoint ((113.87297898265273943 22.6723773296407991)),252131,2.079892,86.861,居住用地,广东省,深圳市,56,58.079892,113.872979,22.67237733
MultiPoint ((113.86157929286467549 22.66890284291097757)),241790,2.087292,124.779,居住用地,广东省,深圳市,76,78.087292,113.8615793,22.66890284
MultiPoint ((113.91949698489399623 22.66641394118436281)),289876,2.087392,34.291,居住用地,广东省,深圳市,61,63.087392,113.919497,22.66641394
MultiPoint ((113.91140258195432011 22.6709982317970038)),280410,2.091292,255.957,居住用地,广东省,深圳市,39,41.091292,113.9114026,22.67099823
MultiPoint ((113.91565365124182563 22.67543569849471297)),284843,2.105792,45.244,居住用地,广东省,深圳市,44,46.105792,113.9156537,22.6754357
